"12ez -- 2. Asukkaiden koulutusaste, 2010-2022"

"Tiedot","Vuosi","00100  Helsinki keskusta - Etu-Töölö (Helsinki)","00120  Punavuori - Bulevardi (Helsinki)","00130  Kaartinkaupunki (Helsinki)","00140  Kaivopuisto - Ullanlinna (Helsinki)","00150  Punavuori - Eira - Hernesaari (Helsinki)","00160  Katajanokka (Helsinki)","00170  Kruununhaka (Helsinki)","00180  Kamppi - Ruoholahti (Helsinki)","00190  Suomenlinna (Helsinki)","00200  Pohjois-Lauttasaari (Helsinki)","00210  Vattuniemi (Helsinki)","00220  Jätkäsaari (Helsinki)","00230  Helsinki postikeskus (Helsinki)","00240  Länsi-Pasila (Helsinki)","00250  Taka-Töölö (Helsinki)","00260  Keski-Töölö (Helsinki)","00270  Pohjois-Meilahti (Helsinki)","00280  Ruskeasuo (Helsinki)","00290  Meilahden sairaala-alue (Helsinki)","00300  Pikku Huopalahti (Helsinki)","00310  Kivihaka (Helsinki)","00320  Etelä-Haaga (Helsinki)","00330  Munkkiniemi (Helsinki)","00340  Kuusisaari - Lehtisaari (Helsinki)","00350  Munkkivuori - Niemenmäki (Helsinki)","00360  Pajamäki (Helsinki)","00370  Reimarla (Helsinki)","00380  Pitäjänmäen yritysalue (Helsinki)","00390  Konala (Helsinki)","00400  Pohjois-Haaga (Helsinki)","00410  Malminkartano (Helsinki)","00420  Kannelmäki (Helsinki)","00430  Maununneva - Kuninkaantammi (Helsinki)","00440  Lassila (Helsinki)","00500  Sörnäinen - Harju (Helsinki)","00510  Alppila - Vallila (Helsinki)","00520  Itä- ja Keski-Pasila (Helsinki)","00530  Kallio (Helsinki)","00540  Kalasatama - Sompasaari (Helsinki)","00550  Vallila - Hermanni (Helsinki)","00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)","00570  Kulosaari (Helsinki)","00580  Kalasatama - Kyläsaari (Helsinki)","00590  Kruunuvuorenranta (Helsinki)","00600  Koskela (Helsinki)","00610  Käpylä (Helsinki)","00620  Metsälä - Etelä-Oulunkylä (Helsinki)","00630  Maunula (Helsinki)","00640  Oulunkylä - Patola (Helsinki)","00650  Veräjämäki (Helsinki)","00660  Länsi-Pakila (Helsinki)","00670  Paloheinä (Helsinki)","00680  Itä-Pakila (Helsinki)","00690  Torpparinmäki (Helsinki)","00700  Malmi (Helsinki)","00710  Pihlajamäki - Viikinmäki (Helsinki)","00720  Pukinmäki (Helsinki)","00730  Tapanila (Helsinki)","00740  Siltamäki (Helsinki)","00750  Tapulikaupunki (Helsinki)","00760  Puistola - Heikinlaakso (Helsinki)","00770  Jakomäki - Alppikylä (Helsinki)","00780  Tapaninvainio (Helsinki)","00790  Viikki (Helsinki)","00800  Länsi-Herttoniemi (Helsinki)","00810  Herttoniemenranta (Helsinki)","00820  Roihuvuori (Helsinki)","00830  Tammisalo (Helsinki)","00840  Yliskylä (Helsinki)","00850  Jollas (Helsinki)","00860  Santahamina (Helsinki)","00870  Gunillanmäki - Hevossalmi (Helsinki)","00880  Keski-Herttoniemi - Roihupelto (Helsinki)","00890  Östersundom (Helsinki)","00900  Puotinharju (Helsinki)","00910  Puotila (Helsinki)","00920  Myllypuro (Helsinki)","00930  Itäkeskus - Marjaniemi (Helsinki)","00940  Kontula - Vesala - Kivikko (Helsinki)","00950  Vartioharju (Helsinki)","00960  Pohjois-Vuosaari (Helsinki)","00970  Mellunmäki (Helsinki)","00980  Etelä-Vuosaari (Helsinki)","00990  Aurinkolahti (Helsinki)"
"18 vuotta täyttäneet yhteensä (KO)","2010",14875,5816,1304,6636,7978,3762,6172,10488,584,12353,5057,0,0,4025,9684,4774,6355,2480,144,4610,744,8231,7145,1294,7494,1637,5029,2890,4059,7794,6892,11311,3683,3959,11495,7853,5496,17298,0,8027,8468,3031,1093,278,3463,6546,2697,6734,6299,3280,5044,4506,2783,1926,10318,9735,7112,8636,7887,7161,5758,4872,5591,6590,5961,8492,6038,1706,6673,2271,341,3589,58,1370,3057,5165,8166,5416,20232,4318,5563,8320,17223,5156
"18 vuotta täyttäneet yhteensä (KO)","2011",15204,5876,1316,6665,8039,3788,6141,10327,599,12405,5315,0,0,4097,9801,4786,6416,2508,153,4660,775,8346,7163,1300,7464,1626,5050,3261,4612,7989,6956,11538,3672,3934,11700,7999,5543,17287,0,8129,8918,3028,1400,280,3494,6590,2610,6773,6309,3309,4998,4492,2791,1927,10561,9764,7126,8701,7906,7211,5800,4944,5652,7146,5936,8656,6095,1721,6703,2318,361,3810,51,1375,3105,5132,8225,5432,20246,4302,5621,8501,17323,5276
"18 vuotta täyttäneet yhteensä (KO)","2012",15521,5904,1307,6713,8299,3808,6182,10981,570,12475,5707,100,0,4273,9821,4924,6460,2442,151,4669,776,8293,7111,1284,7525,1644,5085,3369,4845,8069,6979,11556,3653,3911,11842,7948,5744,17397,531,8071,10035,3096,1586,275,3495,6604,2568,6623,6401,3345,5097,4487,2801,2000,10725,9718,6985,8716,7898,7209,5834,4825,5689,7584,6016,8986,6090,1721,6745,2279,333,3864,56,1396,3383,5151,8866,5306,20334,4319,5643,8570,17353,5939
"18 vuotta täyttäneet yhteensä (KO)","2013",15529,5995,1274,6689,8279,3759,6269,11414,590,12617,5958,828,0,4509,9850,4876,6449,2466,147,4627,779,8406,7079,1274,7714,1611,5031,3547,5030,8097,6915,11612,3650,3922,11815,8191,5871,17530,1091,8079,10264,3094,2030,280,3472,6564,2636,6654,6550,3354,5085,4525,2767,2024,10771,10101,7093,8676,7965,7280,5840,5186,5715,7746,6044,9065,6095,1769,6697,2295,316,3853,365,1402,3495,5193,8924,5450,20301,4297,5658,8758,17378,6118
"18 vuotta täyttäneet yhteensä (KO)","2014",15587,6031,1294,6712,8216,3742,6234,11763,592,12664,6172,1711,0,4481,9805,4822,6471,2568,138,4642,777,8459,7124,1319,7788,1632,5160,3596,5064,8223,6965,11738,3736,3956,11863,8187,5885,17547,1356,8225,10536,3104,2301,287,3477,6776,2663,6799,6640,3326,5142,4505,2792,2040,10836,10294,7069,8789,8086,7245,5890,5042,5743,7912,6081,9183,6075,1744,6717,2310,295,3824,539,1428,3536,5247,9399,5481,20517,4280,5662,8764,17382,6368
"18 vuotta täyttäneet yhteensä (KO)","2015",15830,6105,1340,6780,8268,3749,6381,12011,582,12626,6403,1808,0,4461,9919,4886,6514,2616,143,4670,788,8588,7374,1313,7847,1646,5251,3588,5122,8200,7072,11732,3753,3933,11983,8391,6098,17602,1832,8197,11008,3101,2455,292,3464,6750,2721,6920,6668,3396,5198,4507,2741,2038,10796,10194,7151,8794,8028,7309,5860,5273,5724,8152,6087,9262,6078,1751,6778,2287,289,3843,633,1449,3523,5244,9712,5532,20713,4426,5899,8752,17614,6534
"18 vuotta täyttäneet yhteensä (KO)","2016",15935,6116,1322,6866,8466,3742,6403,12313,551,12801,6641,2514,0,4453,10083,4925,6556,2579,146,4625,762,8972,7173,1365,7827,1631,5223,3691,5162,8319,7191,11888,3881,3988,12062,8659,6286,17452,2040,8334,11161,3126,2456,803,3481,6710,2718,6839,6711,3302,5209,4512,2785,2022,10925,10247,7110,8806,8060,7562,5853,5372,5809,8198,5928,9373,6014,1736,6716,2302,283,4452,638,1467,3566,5165,10020,5428,20873,4582,5924,8777,17654,6732
"18 vuotta täyttäneet yhteensä (KO)","2017",16159,6170,1307,6767,8408,3814,6423,12576,559,13271,6958,4407,0,4561,10013,4930,6562,2574,129,4661,783,8988,7384,1394,7836,1581,5210,3760,5230,8384,7147,11856,4237,4004,12020,8922,6332,17458,2140,8211,11132,3196,2456,956,3495,6771,2806,6911,6728,3342,5229,4504,2777,2041,10841,10343,7112,8741,8152,7596,5842,5757,5754,8336,6046,9388,6080,1726,6762,2303,274,4706,644,1485,3581,5175,10265,5511,20913,4696,5879,8754,18124,6839
"18 vuotta täyttäneet yhteensä (KO)","2018",16273,6202,1319,6800,8304,3862,6447,12654,524,13213,7026,5213,0,4847,10047,4925,6607,2603,132,4665,805,8945,7366,1433,7787,1612,5276,3796,5406,8340,7562,11609,4551,4128,11858,9036,6298,17487,2437,8169,11540,3228,2458,1819,3494,6676,2726,6878,6706,3330,5196,4476,2757,2039,10944,10321,7235,8760,8254,7563,5811,5930,5671,8430,6109,9457,6170,1744,6780,2308,275,4717,651,1462,3567,4912,10880,5480,20755,4761,5905,8739,18287,7008
"18 vuotta täyttäneet yhteensä (KO)","2019",16163,6159,1374,6808,8308,4063,6467,12796,540,13287,7074,5749,0,4796,10160,5029,6612,2599,129,4648,814,9049,7626,1422,7720,1602,5403,3841,5338,8339,7734,11520,5414,3912,11766,9025,6405,17448,3315,8135,11500,3207,2950,2107,3321,6634,2729,6856,6952,3289,5185,4482,2766,2075,10985,10388,7375,8746,8270,7514,5796,5946,5704,8336,6050,10139,6299,1789,6780,2324,261,4781,636,1419,3540,4974,11033,5497,20620,4928,5932,8838,18341,7003
"18 vuotta täyttäneet yhteensä (KO)","2020",16236,6221,1501,6872,8322,4198,6272,12743,516,13318,7278,6999,0,4914,9944,4983,6465,2518,125,4529,806,9048,7721,1423,7820,1623,5171,3887,5250,8322,7489,11433,5948,4034,11498,9006,6956,17025,3776,7971,11355,3266,4070,2643,3321,6688,2801,6997,6930,3150,5140,4448,2754,2086,11080,10267,7444,8718,8145,7546,5781,5963,5640,8193,6142,9951,6753,1782,7018,2289,266,4892,694,1411,3551,4870,10950,5301,20885,5023,5995,8852,18223,7005
"18 vuotta täyttäneet yhteensä (KO)","2021",15817,6214,1480,6740,8269,4165,6239,12393,491,13188,7231,8041,0,4891,9751,4955,6344,2536,119,4445,771,9201,7667,1407,7995,1583,5085,3966,5389,8153,7616,11317,6036,4009,11138,8792,7096,16730,4325,7992,11315,3181,4960,3187,3783,6565,3565,6748,6853,3172,5143,4434,2719,2051,11141,10119,7389,8619,8044,7412,5726,5854,5543,8064,6409,9897,6511,1777,7165,2218,237,4786,1011,1421,3487,4855,11084,5267,20968,5026,5987,8955,18144,7032
"18 vuotta täyttäneet yhteensä (KO)","2022",15997,6209,1484,6674,8162,4320,6267,12418,483,13173,7248,8404,0,4891,9889,5049,6260,2451,117,4369,689,9178,7688,1450,7860,1598,5210,4098,5354,7890,7771,11471,6054,4019,11032,8718,7348,16651,4463,8156,11366,3183,6052,3395,3872,6513,4516,6660,6774,3426,5116,4432,2726,2045,11227,10409,7262,8900,8093,7402,5680,5700,5535,8083,6375,9850,6421,1717,7229,2298,232,4827,1212,1426,3470,5015,11137,5326,20958,5072,5888,8961,18207,7216
