"12ey -- 1. Asukasrakenne, 2010-2022"

"Tiedot","Vuosi","00100  Helsinki keskusta - Etu-Töölö (Helsinki)","00120  Punavuori - Bulevardi (Helsinki)","00130  Kaartinkaupunki (Helsinki)","00140  Kaivopuisto - Ullanlinna (Helsinki)","00150  Punavuori - Eira - Hernesaari (Helsinki)","00160  Katajanokka (Helsinki)","00170  Kruununhaka (Helsinki)","00180  Kamppi - Ruoholahti (Helsinki)","00190  Suomenlinna (Helsinki)","00200  Pohjois-Lauttasaari (Helsinki)","00210  Vattuniemi (Helsinki)","00220  Jätkäsaari (Helsinki)","00230  Helsinki postikeskus (Helsinki)","00240  Länsi-Pasila (Helsinki)","00250  Taka-Töölö (Helsinki)","00260  Keski-Töölö (Helsinki)","00270  Pohjois-Meilahti (Helsinki)","00280  Ruskeasuo (Helsinki)","00290  Meilahden sairaala-alue (Helsinki)","00300  Pikku Huopalahti (Helsinki)","00310  Kivihaka (Helsinki)","00320  Etelä-Haaga (Helsinki)","00330  Munkkiniemi (Helsinki)","00340  Kuusisaari - Lehtisaari (Helsinki)","00350  Munkkivuori - Niemenmäki (Helsinki)","00360  Pajamäki (Helsinki)","00370  Reimarla (Helsinki)","00380  Pitäjänmäen yritysalue (Helsinki)","00390  Konala (Helsinki)","00400  Pohjois-Haaga (Helsinki)","00410  Malminkartano (Helsinki)","00420  Kannelmäki (Helsinki)","00430  Maununneva - Kuninkaantammi (Helsinki)","00440  Lassila (Helsinki)","00500  Sörnäinen - Harju (Helsinki)","00510  Alppila - Vallila (Helsinki)","00520  Itä- ja Keski-Pasila (Helsinki)","00530  Kallio (Helsinki)","00540  Kalasatama - Sompasaari (Helsinki)","00550  Vallila - Hermanni (Helsinki)","00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)","00570  Kulosaari (Helsinki)","00580  Kalasatama - Kyläsaari (Helsinki)","00590  Kruunuvuorenranta (Helsinki)","00600  Koskela (Helsinki)","00610  Käpylä (Helsinki)","00620  Metsälä - Etelä-Oulunkylä (Helsinki)","00630  Maunula (Helsinki)","00640  Oulunkylä - Patola (Helsinki)","00650  Veräjämäki (Helsinki)","00660  Länsi-Pakila (Helsinki)","00670  Paloheinä (Helsinki)","00680  Itä-Pakila (Helsinki)","00690  Torpparinmäki (Helsinki)","00700  Malmi (Helsinki)","00710  Pihlajamäki - Viikinmäki (Helsinki)","00720  Pukinmäki (Helsinki)","00730  Tapanila (Helsinki)","00740  Siltamäki (Helsinki)","00750  Tapulikaupunki (Helsinki)","00760  Puistola - Heikinlaakso (Helsinki)","00770  Jakomäki - Alppikylä (Helsinki)","00780  Tapaninvainio (Helsinki)","00790  Viikki (Helsinki)","00800  Länsi-Herttoniemi (Helsinki)","00810  Herttoniemenranta (Helsinki)","00820  Roihuvuori (Helsinki)","00830  Tammisalo (Helsinki)","00840  Yliskylä (Helsinki)","00850  Jollas (Helsinki)","00860  Santahamina (Helsinki)","00870  Gunillanmäki - Hevossalmi (Helsinki)","00880  Keski-Herttoniemi - Roihupelto (Helsinki)","00890  Östersundom (Helsinki)","00900  Puotinharju (Helsinki)","00910  Puotila (Helsinki)","00920  Myllypuro (Helsinki)","00930  Itäkeskus - Marjaniemi (Helsinki)","00940  Kontula - Vesala - Kivikko (Helsinki)","00950  Vartioharju (Helsinki)","00960  Pohjois-Vuosaari (Helsinki)","00970  Mellunmäki (Helsinki)","00980  Etelä-Vuosaari (Helsinki)","00990  Aurinkolahti (Helsinki)"
"Asukkaat yhteensä (HE)","2010",16545,6549,1508,7616,8831,4474,7061,12268,784,14418,6006,0,0,4646,10691,5234,7488,2818,151,5720,827,9113,8520,1718,8840,1853,6118,3655,4873,8868,8597,13395,4811,4513,12023,8314,6186,18162,0,8774,10146,3768,1371,379,4089,7873,3215,7847,7573,4203,6444,6103,3705,2594,12703,11592,8425,11386,10139,9089,7767,6147,6958,8975,7024,10637,7225,2217,8112,3112,472,4520,58,2116,3520,6127,10045,6726,25456,5583,6993,10030,22501,6297
"Asukkaat yhteensä (HE)","2011",16974,6611,1516,7675,8907,4491,7051,11981,802,14492,6297,0,0,4725,10846,5286,7546,2864,162,5740,868,9273,8528,1723,8807,1843,6169,4024,5540,9120,8613,13626,4782,4514,12260,8478,6249,18264,0,8885,10805,3751,1766,374,4117,7927,3123,7996,7613,4258,6373,6052,3708,2589,12907,11673,8437,11370,10106,9151,7706,6200,7022,9601,6965,10843,7248,2232,8126,3146,492,4803,54,2121,3604,6065,10107,6717,25403,5548,7046,10351,22484,6413
"Asukkaat yhteensä (HE)","2012",17308,6681,1502,7746,9300,4507,7123,12650,756,14607,6798,101,0,4905,10868,5415,7575,2792,161,5742,881,9220,8470,1693,8857,1862,6271,4132,5849,9197,8574,13649,4751,4490,12401,8433,6466,18348,596,8861,12253,3827,1956,368,4119,7951,3082,7819,7711,4284,6499,6016,3721,2713,13087,11694,8305,11313,10067,9132,7733,5999,7036,10119,7063,11145,7268,2235,8170,3113,475,4858,56,2123,3968,6086,10989,6584,25445,5555,7020,10339,22486,7185
"Asukkaat yhteensä (HE)","2013",17402,6795,1457,7707,9277,4469,7219,13127,788,14814,7119,1010,0,5183,10931,5387,7546,2803,157,5725,887,9460,8469,1663,9095,1820,6204,4333,6099,9273,8495,13732,4758,4494,12393,8737,6679,18484,1247,8863,12576,3822,2440,376,4136,7922,3145,7859,7886,4265,6497,6036,3680,2742,13186,12173,8413,11205,10139,9213,7734,6433,7034,10372,7090,11196,7254,2300,8133,3148,452,4838,430,2069,4066,6148,11110,6729,25367,5501,6941,10652,22447,7444
"Asukkaat yhteensä (HE)","2014",17522,6897,1469,7753,9221,4461,7217,13524,783,14908,7399,2117,0,5157,10922,5320,7584,2911,152,5797,875,9548,8507,1696,9226,1830,6360,4399,6149,9469,8537,13884,4866,4537,12455,8738,6699,18523,1579,9006,12905,3849,2757,378,4139,8224,3158,8104,7970,4253,6575,5979,3724,2767,13250,12399,8420,11332,10260,9131,7751,6344,7070,10587,7155,11323,7217,2262,8168,3152,433,4837,626,2063,4137,6219,11772,6748,25578,5485,6942,10698,22412,7757
"Asukkaat yhteensä (HE)","2015",17868,7026,1536,7817,9299,4470,7391,13815,792,14921,7697,2260,0,5145,11079,5422,7644,3000,161,5857,896,9726,8864,1654,9315,1875,6522,4356,6214,9450,8693,13869,4884,4513,12618,8978,6948,18663,2132,9021,13499,3824,2930,380,4120,8219,3226,8306,8049,4345,6689,6015,3639,2779,13176,12306,8554,11277,10209,9242,7718,6638,7032,10839,7212,11467,7248,2255,8290,3119,425,4854,725,2056,4135,6235,12149,6794,25817,5613,7234,10645,22601,8006
"Asukkaat yhteensä (HE)","2016",18035,7055,1522,7934,9527,4448,7427,14212,748,15183,8044,3056,0,5123,11314,5471,7706,2967,165,5794,870,10170,8569,1699,9316,1868,6508,4455,6242,9610,8804,14029,5045,4558,12688,9329,7208,18517,2380,9214,13756,3861,2942,998,4132,8194,3238,8243,8125,4252,6666,6074,3697,2750,13369,12416,8520,11267,10224,9601,7685,6782,7127,10874,7055,11525,7177,2241,8191,3138,409,5578,727,2044,4219,6150,12595,6711,26023,5798,7281,10684,22616,8258
"Asukkaat yhteensä (HE)","2017",18284,7108,1508,7865,9496,4541,7461,14541,743,15786,8412,5215,0,5261,11277,5478,7723,2963,143,5809,890,10231,8848,1722,9309,1825,6498,4515,6328,9672,8826,13989,5454,4626,12634,9628,7282,18612,2521,9100,13770,3962,2948,1184,4147,8266,3349,8389,8171,4315,6696,6025,3694,2762,13271,12521,8574,11192,10353,9672,7672,7289,7079,11039,7190,11584,7265,2237,8206,3144,395,5931,719,2007,4248,6187,13019,6830,26173,5950,7201,10641,23055,8398
"Asukkaat yhteensä (HE)","2018",18427,7161,1523,7921,9385,4577,7495,14683,707,15817,8509,6238,0,5563,11359,5480,7775,2990,148,5799,913,10199,8818,1767,9280,1868,6544,4547,6510,9621,9338,13691,5834,4797,12436,9783,7259,18644,2910,9049,14127,4004,2945,2235,4153,8183,3285,8316,8185,4276,6639,5989,3663,2773,13359,12511,8770,11236,10499,9674,7644,7506,6963,11114,7283,11631,7389,2255,8233,3148,387,5954,741,1944,4258,5853,13792,6794,26010,6042,7192,10651,23183,8587
"Asukkaat yhteensä (HE)","2019",18334,7140,1582,7958,9420,4832,7489,14883,748,15904,8563,6937,0,5477,11503,5603,7801,2992,145,5764,911,10344,9122,1776,9223,1858,6598,4581,6451,9641,9556,13612,6894,4544,12297,9814,7366,18616,4044,9028,14089,3988,3479,2570,3976,8140,3277,8334,8542,4244,6643,5984,3670,2828,13367,12656,8915,11268,10575,9606,7603,7492,6961,10968,7229,12432,7583,2301,8263,3140,371,6064,719,1866,4203,5912,13984,6813,25772,6233,7246,10735,23223,8555
"Asukkaat yhteensä (HE)","2020",18373,7216,1721,7995,9440,4995,7238,14815,723,16005,8817,8488,0,5641,11299,5581,7601,2908,141,5555,899,10391,9274,1783,9380,1884,6357,4648,6365,9616,9172,13560,7646,4715,11997,9804,7953,18164,4684,8890,13904,4124,4748,3289,3994,8156,3386,8508,8522,4082,6616,5965,3648,2855,13611,12534,8983,11221,10414,9649,7588,7498,6893,10800,7277,12169,8188,2291,8589,3072,359,6143,770,1830,4232,5759,13901,6630,25932,6364,7361,10746,23019,8581
"Asukkaat yhteensä (HE)","2021",17893,7230,1716,7845,9368,4932,7191,14440,694,15970,8766,9868,0,5632,11091,5556,7426,2888,134,5451,859,10593,9212,1774,9561,1855,6203,4750,6548,9439,9396,13500,7771,4700,11602,9536,8116,17872,5342,8948,13837,4050,5749,4007,4556,7979,4284,8240,8412,4098,6665,5951,3640,2820,13797,12374,8962,11057,10285,9495,7497,7357,6783,10644,7589,12005,7919,2307,8845,2977,316,5999,1127,1809,4198,5684,14031,6535,26068,6384,7303,10936,22840,8514
"Asukkaat yhteensä (HE)","2022",18030,7192,1731,7729,9239,5096,7238,14461,673,15928,8815,10412,0,5638,11267,5666,7314,2798,132,5321,769,10590,9280,1837,9414,1864,6335,4876,6517,9180,9656,13726,7825,4728,11486,9461,8394,17777,5464,9131,13790,4073,7020,4266,4660,7887,5464,8102,8345,4352,6670,5922,3670,2816,13991,12678,8825,11390,10328,9449,7464,7166,6789,10585,7558,11937,7794,2257,8916,3112,293,6125,1383,1785,4186,5894,14035,6600,26070,6395,7199,10859,22890,8701
