"12f6 -- 8. Asukkaiden pääasiallinen toiminta, 2010-2022"

"Tiedot","Vuosi","00100  Helsinki keskusta - Etu-Töölö (Helsinki)","00120  Punavuori - Bulevardi (Helsinki)","00130  Kaartinkaupunki (Helsinki)","00140  Kaivopuisto - Ullanlinna (Helsinki)","00150  Punavuori - Eira - Hernesaari (Helsinki)","00160  Katajanokka (Helsinki)","00170  Kruununhaka (Helsinki)","00180  Kamppi - Ruoholahti (Helsinki)","00190  Suomenlinna (Helsinki)","00200  Pohjois-Lauttasaari (Helsinki)","00210  Vattuniemi (Helsinki)","00220  Jätkäsaari (Helsinki)","00230  Helsinki postikeskus (Helsinki)","00240  Länsi-Pasila (Helsinki)","00250  Taka-Töölö (Helsinki)","00260  Keski-Töölö (Helsinki)","00270  Pohjois-Meilahti (Helsinki)","00280  Ruskeasuo (Helsinki)","00290  Meilahden sairaala-alue (Helsinki)","00300  Pikku Huopalahti (Helsinki)","00310  Kivihaka (Helsinki)","00320  Etelä-Haaga (Helsinki)","00330  Munkkiniemi (Helsinki)","00340  Kuusisaari - Lehtisaari (Helsinki)","00350  Munkkivuori - Niemenmäki (Helsinki)","00360  Pajamäki (Helsinki)","00370  Reimarla (Helsinki)","00380  Pitäjänmäen yritysalue (Helsinki)","00390  Konala (Helsinki)","00400  Pohjois-Haaga (Helsinki)","00410  Malminkartano (Helsinki)","00420  Kannelmäki (Helsinki)","00430  Maununneva - Kuninkaantammi (Helsinki)","00440  Lassila (Helsinki)","00500  Sörnäinen - Harju (Helsinki)","00510  Alppila - Vallila (Helsinki)","00520  Itä- ja Keski-Pasila (Helsinki)","00530  Kallio (Helsinki)","00540  Kalasatama - Sompasaari (Helsinki)","00550  Vallila - Hermanni (Helsinki)","00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)","00570  Kulosaari (Helsinki)","00580  Kalasatama - Kyläsaari (Helsinki)","00590  Kruunuvuorenranta (Helsinki)","00600  Koskela (Helsinki)","00610  Käpylä (Helsinki)","00620  Metsälä - Etelä-Oulunkylä (Helsinki)","00630  Maunula (Helsinki)","00640  Oulunkylä - Patola (Helsinki)","00650  Veräjämäki (Helsinki)","00660  Länsi-Pakila (Helsinki)","00670  Paloheinä (Helsinki)","00680  Itä-Pakila (Helsinki)","00690  Torpparinmäki (Helsinki)","00700  Malmi (Helsinki)","00710  Pihlajamäki - Viikinmäki (Helsinki)","00720  Pukinmäki (Helsinki)","00730  Tapanila (Helsinki)","00740  Siltamäki (Helsinki)","00750  Tapulikaupunki (Helsinki)","00760  Puistola - Heikinlaakso (Helsinki)","00770  Jakomäki - Alppikylä (Helsinki)","00780  Tapaninvainio (Helsinki)","00790  Viikki (Helsinki)","00800  Länsi-Herttoniemi (Helsinki)","00810  Herttoniemenranta (Helsinki)","00820  Roihuvuori (Helsinki)","00830  Tammisalo (Helsinki)","00840  Yliskylä (Helsinki)","00850  Jollas (Helsinki)","00860  Santahamina (Helsinki)","00870  Gunillanmäki - Hevossalmi (Helsinki)","00880  Keski-Herttoniemi - Roihupelto (Helsinki)","00890  Östersundom (Helsinki)","00900  Puotinharju (Helsinki)","00910  Puotila (Helsinki)","00920  Myllypuro (Helsinki)","00930  Itäkeskus - Marjaniemi (Helsinki)","00940  Kontula - Vesala - Kivikko (Helsinki)","00950  Vartioharju (Helsinki)","00960  Pohjois-Vuosaari (Helsinki)","00970  Mellunmäki (Helsinki)","00980  Etelä-Vuosaari (Helsinki)","00990  Aurinkolahti (Helsinki)"
"Työttömät (PT)","2010",445,195,34,196,287,107,159,461,18,396,129,0,0,171,315,123,275,72,5,230,25,256,190,20,261,69,202,164,199,340,375,590,139,167,771,463,281,988,0,470,309,82,31,11,163,299,99,435,255,182,120,127,95,73,640,611,364,396,316,431,195,438,212,277,413,493,437,34,255,96,4,217,8,37,201,320,538,407,1555,162,320,559,1380,213
"Työttömät (PT)","2011",439,178,43,198,301,130,166,384,17,373,136,0,0,177,287,122,264,62,5,246,28,263,173,20,250,56,171,207,200,315,406,585,120,163,740,471,298,867,0,495,338,93,38,6,151,281,85,422,241,177,120,125,86,70,632,656,365,390,330,410,170,419,215,261,407,499,427,39,243,80,4,221,7,33,199,317,459,373,1526,134,304,591,1329,201
"Työttömät (PT)","2012",523,221,32,197,332,123,206,460,14,419,173,4,0,198,344,139,293,61,6,265,39,329,211,21,298,79,233,171,219,401,426,644,130,169,809,524,323,976,10,519,427,96,48,6,168,342,82,435,269,167,151,133,97,81,710,679,386,447,330,439,207,425,256,319,445,585,453,42,264,82,1,225,10,44,278,358,566,382,1666,159,349,636,1407,253
"Työttömät (PT)","2013",661,299,52,242,402,141,242,593,29,561,215,32,0,257,425,195,345,106,6,304,47,379,274,33,388,88,280,247,328,469,533,817,148,204,953,626,425,1169,47,582,519,130,65,15,194,394,94,498,328,231,181,158,123,95,906,871,495,550,427,561,270,508,305,379,505,749,540,56,332,110,4,301,30,53,307,408,662,455,1912,194,409,733,1687,339
"Työttömät (PT)","2014",775,319,55,293,516,204,291,718,34,716,259,109,0,281,500,208,443,129,3,386,47,514,312,51,457,117,358,300,362,587,613,948,180,221,1133,699,469,1354,71,699,628,157,100,14,231,483,126,623,381,278,217,181,160,119,1072,1041,577,630,504,653,310,545,358,497,606,848,620,64,391,132,6,342,47,59,369,479,770,472,2174,230,492,786,1886,426
"Työttömät (PT)","2015",864,350,70,383,536,199,310,795,45,689,292,115,0,318,570,254,481,147,8,406,55,510,350,62,487,125,395,321,418,612,656,1029,183,244,1242,857,526,1459,88,694,665,154,101,19,229,494,137,623,403,288,230,192,150,120,1100,1045,582,641,555,694,315,570,384,558,625,881,640,68,405,130,8,349,48,79,405,486,901,486,2366,253,521,841,2030,453
"Työttömät (PT)","2016",856,336,61,325,536,192,345,790,44,714,270,144,0,297,569,235,476,135,10,383,50,501,322,57,516,149,370,337,409,579,642,1026,217,241,1135,788,499,1379,69,721,678,163,100,63,243,514,139,578,372,253,210,192,139,127,1096,997,595,627,541,698,296,564,372,531,581,864,650,70,417,136,11,409,39,78,421,490,832,515,2354,290,517,874,2017,455
"Työttömät (PT)","2017",702,273,41,261,438,143,270,665,36,586,245,175,0,280,457,190,404,110,5,317,48,475,295,50,444,118,349,311,374,539,541,913,190,243,955,687,425,1174,72,601,541,143,92,63,227,436,106,557,338,210,186,152,134,95,961,893,505,537,440,619,268,576,295,467,497,798,593,54,330,121,7,375,36,65,377,428,770,510,2211,256,469,785,1862,411
"Työttömät (PT)","2018",607,241,37,261,364,135,223,624,34,489,208,191,0,226,426,178,321,94,4,296,54,406,256,46,374,95,309,294,342,464,527,823,173,207,822,555,390,1075,62,514,454,141,79,80,211,349,99,484,310,200,139,110,105,84,866,801,461,448,404,577,223,530,248,409,444,672,535,44,290,86,6,350,24,61,343,382,669,446,1921,234,414,748,1698,350
"Työttömät (PT)","2019",578,236,30,250,356,151,227,604,34,495,213,209,0,223,415,210,313,115,5,260,48,379,237,55,361,91,302,271,338,443,545,772,213,188,813,565,369,1058,129,512,477,117,89,113,187,343,106,472,354,166,144,133,106,76,864,838,464,449,379,557,210,528,252,415,417,662,543,53,296,96,3,338,34,59,312,372,697,413,1875,252,430,703,1687,346
"Työttömät (PT)","2020",1083,460,81,465,682,269,388,1064,53,827,398,486,0,349,721,336,487,180,8,427,64,613,431,77,509,131,425,381,468,741,791,1210,427,317,1320,934,649,1673,282,772,802,198,252,231,272,582,172,752,536,270,276,228,162,145,1260,1213,725,732,658,814,392,787,390,616,636,1036,792,82,510,153,7,541,55,99,425,541,1027,601,2792,398,663,1085,2309,574
"Työttömät (PT)","2021",723,310,49,297,465,191,285,748,34,558,256,421,0,254,460,255,379,117,5,313,54,468,300,67,438,110,325,328,392,605,679,1010,279,247,963,715,443,1178,184,618,531,155,208,227,247,387,200,553,402,212,209,148,116,80,1061,949,570,550,475,685,272,673,291,490,523,769,583,56,383,118,6,426,56,82,350,465,805,515,2444,266,573,917,1895,465
"Työttömät (PT)","2022",630,254,47,275,407,178,217,689,33,486,239,439,0,242,424,220,323,127,4,282,42,409,274,60,399,100,319,319,376,544,647,934,263,250,880,668,423,1102,194,607,537,117,255,224,230,381,222,494,381,197,177,132,105,74,1022,930,503,529,487,620,272,581,269,462,508,766,588,60,370,111,6,413,55,75,372,413,811,484,2362,252,487,842,1912,449
